mission,title,subtitle,author,type,desc
Top-Rated,Indistractable,How to Control Your Attention and Choose Your Life,Nir Eyal,Philosopher's Notes,"Nir Eyal is a former lecturer at Stanford’s Graduate School of Business. His first book was an international bestseller that’s influenced the product development of pretty much all of the leading tech companies on the planet. It was called Hooked: How to Build Habit-Forming Products. We have Nir to thank for helping make the technology we use better. And... As he says, “But there’s also a dark side. As philosopher Paul Virilio wrote, ‘When you invent the ship, you also invent the shipwreck.’ In the case of user-friendly products and services, what makes some products engaging and easy to use can also make them distracting.” After finding HIMSELF hooked to many of the products created by designers inspired by *his* work, Eyal got himself UNHOOKED and, ultimately INDISTRACTABLE. In this great book, he gives us a practical look at *why* we’re so vulnerable to getting hooked in the first place and, most importantly, how to make ourselves Indistractable so we can control our attention and choose our lives."
Top-Rated,It Takes What It Takes,How to Think Neutrally and Gain Control of Your Life,Trevor Moawad,Philosopher's Notes,"Trevor Moawad is a mental conditioning coach to elite performers. He is well known for being the mental coach to Seattle Seahawks quarterback Russell Wilson and has worked closely with prestigious NCAA football programs and coaches, the US Special Operations community, Major League Baseball, and the NBA. This book is, as per the sub-title, all about “How to Think Neutrally and Gain Control of Your Life.” I loved it and, if you’re also equally fired up by the mental toughness in sports and life genre, I think you’ll enjoy it as much as I did. Big Ideas we explore include neutral thinking (much better than positive or negative), goats and G.O.A.T.s, the law of substitution (focus!), the illusion of choice (if you’re REALLY ALL IN, there is no choice), and drawing a line in the dirt (and getting to it… again and again and again!)."
Top-Rated,No Sweat,How the Simple Science of Motivation Can Bring You a Lifetime of Fitness,"Michelle Segar, Ph.D.",Philosopher's Notes,"Dr. Michelle Segar is the world’s leading authority on what motivates people to choose and maintain healthy behaviors. As you’d imagine, Dr. Segar has some *really* powerful ideas on, as the sub-title suggests, “How the simple science of motivation can bring you a lifetime of fitness.” Big Ideas we explore include the importance of meaning, moving exercise from a chore to a gift and embracing a learning mindset."
Top-Rated,The Joy of Movement,"How exercise helps us find happiness, hope, connection, and courage",Kelly McGonigal,Philosopher's Notes,"I’m a big fan of Kelly McGonigal and her ability to help us apply scientific wisdom to our lives. We’ve covered two of her earlier books: The Willpower Instinct and The Upside of Stress. So... When I got this book, knew I’d enjoy it. But, I didn’t anticipate JUST how much I’d love it. We have some great Notes on Movement (Spark, Spartan Up and No Sweat among my favorites), but Kelly’s book will be our new go-to for the science of WHY exercise/movement is so essential to our well-being. It’s PHENOMENAL. Reading about the SCIENCE behind stories of transformation (and how, as per the sub-title of her book: “Exercise Helps Us Find Happiness, Hope, Connection, and Courage”) also made me that much more clear on the power of what we’re doing with all of our work and the importance of focusing so much on Energy (especially with our Mastery and Coach programs). Big Ideas we explore include: Hope Molecules (and how to create them), persistence highs (and how to create them), collective effervescence (and why it's so awesome), how we endure (hint: TOGETHER!), and OMMS!!! (Obstacles (literally!) Make Me Stronger!)."
Top-Rated,As a Man Thinketh,,James Allen,Philosopher's Notes,"Although somewhat obscure, James Allen is a wise guy and his essays have deeply influenced many of today's leading teachers. In this Note, we'll explore the fact that dreams are the seedlings of our future realities and we'll learn how important it is that we strengthen the power of our minds if we want to live an extraordinary life of meaning."
Top-Rated,Make Your Bed,Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,Philosopher's Notes,"Admiral William H. McRaven is a Retired U.S. Navy SEAL who served for thirty-seven years and commanded at every level. As a Four-Star Admiral, his final assignment was as Commander of all U.S. Special Operations Forces. (During this time, he oversaw the covert mission that killed Osama bin Laden.) In 2014, he gave the commencement address to the graduates of the University of Texas at Austin. Millions of people wound up watching his speech on ten lessons he learned from his Navy SEAL training. This book takes a deeper look at those ten lessons. It’s a super-quick read—packed with simple, yet profound wisdom along with moving stories of moral exemplars. It's FANTASTIC."
Top-Rated,Limitless,"Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,Philosopher's Notes,"Jim Kwik is a widely recognized world expert in memory improvement, brain optimization and accelerated learning and has “served as the brain coach to a who’s who of Hollywood’s elite, professional athletes, political leaders, and business magnates.” The best part of Jim’s story? After suffering a brain injury in kindergarten, he was described by a teacher as ""the kid with a broken brain.” He struggled with learning for most of his life. Then he went antifragile on it and studied (and applied!) the science of how we learn. Fast-forward a couple decades and VOILA. Here we are. This book is REALLY (!) good. Big Ideas we explore include the Limitless Model (Mindset + Motivation + Methods), Supervillans (Digital: Deluge + Distraction + Dementia + Deduction + Depression), Learn FASTER (Forget + Act + State + Teach + Enter + Review), Learned Limitlessness (delete the LIEs and Optimize the BS!), and how to create sustainable Motivation (Purpose x Energy x Small Simple Steps)."
Top-Rated,Spartan Up!,A Take-No-Prisoners Guide to Overcoming Obstacles and Achieving Peak Performance in Life,Joe De Sena,Philosopher's Notes,"Spartan Up!! Want a swift kick in the optimizing butt?! This is the book for you. It truly is ""a take-no-prisoners guide to overcoming obstacles and achieving performance"" delivered with enthusiasm by Joe De Sena--the renowned endurance/adventure racer who created Spartan Race. We'll look at what's impossible vs. just really hard, how to pass the cookie test as we develop grit and learn how to get to the next telephone pole in the race of life."
Top-Rated,Wooden,A Lifetime of Observations and Reflections On and Off the Court,John Wooden,Philosopher's Notes,John Wooden. He’s arguably the greatest coach EVER and this book is essentially one Big Idea after another. Wooden is all about the fundamentals and in this Note we’ll explore a few of my favorite Big Ideas on his old-school wisdom—from the fact that full effort = full success to the importance of becoming a realistic optimist.
Top-Rated,Staring Down the Wolf,7 Leadership Commitments That Forge Elite Teams,Mark Divine,Philosopher's Notes,"This is our third Note on one of Mark Divine's books. Mark is a retired Navy SEAL Commander. He also has twenty-five years of experience as an entrepreneur. In this book, he draws on his decades of leadership experience to teach us the ""7 Leadership Commitments That Forge Elite Teams."" Big Ideas we explore include The Two Wolves (which one are YOU feeding?), the. 7 Commitments (Courage + Trust + Respect + Growth + Excellence + Resiliency + Alignment), Falling Down Seven Times (and getting back up eight), Semper Gumby (Always Flexible!), and Your #1 Fear to Stare Down Next (what's yours?)."
Top-Rated,How to Think Like a Roman Emperor,The Stoic Philosophy of Marcus Aurelius,Donald Robertson,Philosopher's Notes,"Donald Robertson is one of the world’s leading thinkers, writers AND practitioners of Stoic philosophy. He’s also a therapist who integrates Stoicism into his work with individuals. This is our second Note on one of his great books. The first Note was on The Philosophy of Cognitive Behavioral Therapy in which he connects the philosophical underpinnings of CBT (one of the most empirically-validated, effective modern therapies) to ancient Stoicism. This book is part biography and part philosophy. It’s all awesome. If you want to know how to think like a Roman emperor, start here. I think you’ll enjoy the book as much as I did."
Top-Rated,Discipline Equals Freedom,Field Manual,Jocko Willink,Philosopher's Notes,"Jocko Willink is a retired Navy SEAL. He was commander of Task Unit Bruiser―the most decorated Special Operations Unit of the Iraq War. I really enjoyed Jocko’s first book Extreme Ownership and I knew this one would be good but... I didn’t expect it to be THIS good. The words literally explode off the page. Not just because each micro-chapter was an incredibly inspiring micro-manifesto but because each word was written by a man so clearly living in complete integrity with his deepest values. John Maxwell would say his “moral authority” is extraordinary. I’d say his SOUL FORCE is palpable. If you’re in the mood for a soul-rattling call-to-disciplined action, I think you’ll enjoy the book as much as I did."
Top-Rated,On Becoming a Leader,,Warren Bennis,Philosopher's Notes,"Warren Bennis is one of the world’s leading authorities on leadership. This is, as Peter Drucker puts it, his “most important book.” Big Ideas we explore include the basic ingredients of leadership (#1 = Guiding Vision!), the importance of self-invention (hint: write your own story!), the power of trusting ourselves, choosing to express ourselves rather than prove ourselves, how to cultivate trust, and becoming a world-class leader."
Top-Rated,Mastery,,Robert Greene,Philosopher's Notes,"Leonardo da Vinci. Charles Darwin. Wolfgang Amadeus Mozart. Martha Graham. The Wright Brothers. Jane Goodall. Benjamin Franklin. Thomas Edison. Zora Neale Hurston. What do they all have in common? Mastery. In this great book Robert Greene shows us the key components of their mastery and, most importantly, how WE can each attain our mastery in our own lives."
Top-Rated,Leadershift,The 11 Essential Changes Every Leader Must Embrace,John C. Maxwell,Philosopher's Notes,"This is our 4th Note on one of John Maxwell’s books. We also have Notes on The 21 Irrefutable Laws of Leadership, The 15 Invaluable Laws of Growth, and How Successful People Think. John is one of my absolute favorite writers and teachers. His books are *ridiculously* packed with Big Ideas. (Like, jumbo-ridiculously packed with practical wisdom.) As we’ve discussed, he’s one of the world’s leading authorities on leadership. He’s sold over 25 million copies of his dozens of books that have been translated into over 50 languages. His organizations have also trained leaders in EVERY single country around the world. This is his most recent book, written after FIFTY (!) years of leadership. As per the sub-title, John walks us through the “11 Essential Changes” he has made and that he encourages every leader to embrace. Big Ideas we explore include a quick look at the 11 essential leadershifts, layered learning (compound those +1s!), consistency (how to pay the price of leadership), moral authority (the highest form of leadership!), and the Clock + the Compass (how to fulfill your destiny TODAY)."
Top-Rated,The Seven Principles for Making Marriage Work,A Practical Guide from the Country's Foremost Relationship Expert,"John M. Gottman, Nan Silver",Philosopher's Notes,"Want to make your relationship work? Then you’d be wise to turn toward the world’s leading researcher on the science of what makes love work: John Gottman. This book has sold over 1 million copies and it’s easy to see why. Big Ideas we explore: How Gottman can predict divorce with 91% accuracy (in < 15 minutes), a quick look at the 7 principles, the power of cherishing your partner, turning toward (and not being a tech rat), how to solve the solvable problems and starting “I love you” with the “I.”"
Top-Rated,The Upside of Stress,"Why Stress Is Good for You, and How to Get Good at It",Kelly McGonigal,Philosopher's Notes,"If you’ve ever had stress in your life (hah!) and wondered how to deal with it more optimally, I think you’ll love this. McGonigal tells us that how we THINK about stress plays a huge role in its affect on us and walks us thru the science behind it. Rather than try to get rid of stress (good luck with that!), we’re much better off shifting our mindsets to embrace and use the stress wisely!"
Top-Rated,The Analects of Confucius,,Confucius,Philosopher's Notes,"Confucius. Talk about old school. I’ve waded through some of the arcane stuff from his classic ""Analects"" to bring us some highly practical wisdom for our 21st century lives. We'll take a look at a bunch of Big Ideas on the importance of being a passionate (and patient!) student of life while striving to do our best. Good stuff."
Top-Rated,The Art of Taking Action ,Lessons from Japanese Psychology,Gregg Krech,Philosopher's Notes,"Greg Krech is one of the world’s leading teachers of Japanese psychology. This book integrates three core facets of the work he has done for the last 25+ years: Morita Therapy + kaizen + Naikan. Big Ideas we explore include understanding what is within our control and what is not (hint: thoughts and feelings are not; behaviors are), how to create momentum in your life and the importance of constant incremental improvement."
Top-Rated,Antifragile 101,,,101 Classes,"You can be fragile, robust or antifragile. Do you break when you get hit by life? Or are you kinda resilient? Or… Are you antifragile—do you actually get STRONGER the more life kicks you around?! Learn how to get comfortable being uncomfortable as you step into your infinite potential and use *everything* to fuel your heroic growth."
Top-Rated,Habits 101,,,101 Classes,Aristotle tells us: “We are what we repeatedly do. Excellence is not an act but a HABIT.” It’s not about living at your best every once in a while. It’s about rockin’ it day in and day out. Making it who you are. A habit. That’s what this class is all about. We’ll help you identify and install your #1 keystone habit while learning how to tap into your superpowers and create habits that will change your life.
Top-Rated,Masterpiece Days 101,,,101 Classes,"Great lives are created one great day at a time. Which is why this class is a key component to rockin’ it. Step 1: Make TODAY the day. Know what your ideal days look like (we’ll help you figure it out), set clear targets, make progress while you make waves, control the kryptonite, create AM + PM bookends, remember the Deep Work + Deep Love blocks and iterate, iterate, iterate."
Top-Rated,Purpose 101,,,101 Classes,"Abraham Maslow tells us that what one can be, one must be. Actualizing our potential is like oxygen for the soul. Helping you discover your purpose and fulfill your destiny is what this class is all about."
Top-Rated,Stoicism 101,,,101 Classes,I love Stoicism. In this class we take a quick look at the cast of characters (from founder Zeno to Seneca + Epictetus + Marcus Aurelius) and then dive into the ultimate goal of Stoicism (hint: become bff’s with your inner daimon so you can experience a state of well-being and flourishing) along with the practices that help us apply this wisdom to our lives. We’ll create energized tranquility and equanimity as we have fun becoming our own ideal sages.
Top-Rated,Energy 101,,,101 Classes,"We’re going to have a hard time actualizing our potential if we have a hard time getting out of bed. Energy is SUPER important. In fact, it’s the engine for our actualization. In this class, we’ll integrate a lot of the most essential aspects of eating, moving, and sleeping. But first, we’ll start by stepping back and recognizing just how important it is that we flip the switch in our minds—raising our standards and TRULY committing to being our best, most energized selves so we can change the world together, one person at a time, starting with YOU and me."
Top-Rated,Willpower 101,,,101 Classes,Willpower is the queen of all virtues. It outpredicts IQ by a factor of TWO for academic performance (and everything else we want in life). This class is all about the science of how to systematically build our willpower so we can reach our highest potential.
Top-Rated,Confidence 101,,,101 Classes,Confidence. The word comes from the Latin con + fidere and means “with intense trust.” To have intense trust in what? In YOURSELF. *That* is true confidence–having total trust in yourself knowing you can handle whatever life throws at you. Helping you create that kind of indestructible trust in yourself is what this class is all about.
Top-Rated,Optimizing for the Modern Hērō 101,,,101 Classes,"I created this class after my friend Matt McCall (who helps run the Pritzker Group Venture Capital fund) asked me to do a talk for 60 of their portfolio CEOs. He was thinking “Optimizing for Supheroes 101.” I loved that idea and decided it would be the perfect context to share my absolute best stuff and here we are. 🤓 In this extra-long class, we start by connecting “Optimizing” and “Hērō” to their ancient Greek philosophical roots then we proceed to walk thru how to go about integrating ancient wisdom, modern science and practical tools to harness our soul force to build strength for two such that we can create our best, most heroic lives."
Top-Rated,Productivity 101,,,101 Classes,"Ready to get some great things done? Fantastic. Step 1: Identify the great thing. Step 2. Say YES to your wildly important goal! Step 3. Say “No!” to basically everything else. Then know that it starts with energy management then goes to time management, focus, 4.5-hour workdays, the four disciplines of execution, the science of progress and relentless forward motion."
Top-Rated,Optimizing Algorithms 101,,,101 Classes,"“Algorithm.” Yuval Noah Harari tells us that it is the most important concept of the 21st century and that “we should make every effort to understand what an algorithm is, and how algorithms are connected with emotions.” Ray Dalio echoes this perspective and tells us that algorithms will be the most important language for us (and our kids) to learn. Psychologists have been talking about algorithms for awhile as well. They call them “if-then implementation intentions”—which are the secret sauce to using your willpower wisely to install habits that run on autopilot. In this class, we tie that all together and then talk about some practical ways to apply that wisdom to our lives so we can program ourselves wisely and have fun seeing just how awesome we can make our lives. 🤓"
Ancient-Wisdom,Stoicism 101,,,101 Classes,I love Stoicism. In this class we take a quick look at the cast of characters (from founder Zeno to Seneca + Epictetus + Marcus Aurelius) and then dive into the ultimate goal of Stoicism (hint: become bff’s with your inner daimon so you can experience a state of well-being and flourishing) along with the practices that help us apply this wisdom to our lives. We’ll create energized tranquility and equanimity as we have fun becoming our own ideal sages.
Ancient-Wisdom,The Nicomachean Ethics,,Aristotle,Philosopher's Notes,"Aristotle's writings have been extraordinarily influential since ancient times. This treatise is named after his son and is a collection of his lecture notes--imagining attending his Lyceum and listening to him teach 2,300 years ago! Of course, it's packed with culture-changing Big Ideas. Some of my favorites we cover include the ultimate end: eudaimonic happiness (vs. ""happiness"" as most of us think about it!), how to achieve that eudaimonia (hint: ""virtuous activity of the soul"" aka areté), how to win the Olympic Games (hint: you can't just show up; you need to ACT!), the doctrine of the mean (and the vice of deficiency + excess) and the virtue of magnanimity: meet YOUR great soul."
Ancient-Wisdom,Meditations,,Marcus Aurelius,Philosopher's Notes,"Marcus Aurelius was the Emperor-Philosopher of the Roman Empire and one of the most enlightened leaders ever. Meditations is a collection of journal entries he wrote to himself and in this Note, we'll explore some Big Ideas of his Stoic philosophy—from the importance of never confusing ourselves with visions of a lifetime all at once, to not worrying about what others think of us and living a life of purpose and service."
Ancient-Wisdom,Discourses,,Epictetus,Philosopher's Notes,"Epictetus is known as one of the world’s leading Stoic philosophers. (Along with Seneca and Marcus Aurelius, the three make up a very interesting bunch.) Epictetus was a former slave turned philosopher who lived from 55-135 (a little later than Seneca and before Aurelius). This book is a transcription of the informal lectures Epictetus gave to his students. It’s awesome. Big Ideas we explore: why Hercules needed challenges (and so do you), what figs can teach us about greatness, the good + the bad + the indifferent and how to tell the difference, “impressions” and the tricks they play, and the fact NOW is the time to live this stuff."
Ancient-Wisdom,On the Shortness of Life,Life Is Long If You Know How to Use It,Seneca,Philosopher's Notes,"Seneca was an old-school Roman statesman and one of history’s leading Stoic philosophers. In this book he tells us that life is only short if you don’t know how to use it and also gives us some tips on how to deal with challenging times and cultivate tranquility. Big Ideas we explore include making T.O.D.A.Y. the day, how to deal with being exiled (never know when it could happen ;), and why flexibility is the virtuous road to tranquility (and how to avoid the detours)."
Ancient-Wisdom,The Bhagavad Gita,A Classic of Indian Spirituality,"Krishna, Eknath Easwaran",Philosopher's Notes,"The classic text of Hinduism is *packed* with wisdom. In the Note, we take a super quick look at the context for the book and then jump into some powerful wisdom—including the importance of meditation, the fact that making mistakes is an inherent part of our growth process and the uber-importance of letting go of our attachment to results."
Ancient-Wisdom,The Dhammapada,The Sayings of Buddha,Eknath Easwaran,Philosopher's Notes,"A core text of Buddhism, The Dhammapada literally means something along the lines of ""the path of truth and righteousness"" and is packed with wisdom. In this Note, we'll take a quick look at some central tenets of Buddhism (like the Four Noble Truths, nirvana, and the eightfold path) and soak up some Buddha mojo on how to rock our wisest lives."
Ancient-Wisdom,The Way of the Bodhisattva,,Shantideva,Philosopher's Notes,"The Way of the Bodhisattva is one of the classics of Buddhism that teaches us the key elements of the Bodhisattva—one who has dedicated his or her life to serving the world and releasing all sentient beings from suffering. In this Note, we’ll check out the importance of cultivating bodhichitta (an “awakened mind”) and how we can do it. (Hint: It’s all about “diligence in virtuous ways”! :)"
Ancient-Wisdom,Rumi Daylight,A Day Book of Spiritual Guidance,Rumi,Philosopher's Notes,"Rumi's poetry is stunning. In this Note, we'll explore some inspiring wisdom from the Sufi mystic and have fun applying it to our 21st century lives—from the importance of having patience and seeing challenging times as God's way of strengthening us to working hard and going for it."
Ancient-Wisdom,The Analects of Confucius,,Confucius,Philosopher's Notes,"Confucius. Talk about old school. I’ve waded through some of the arcane stuff from his classic ""Analects"" to bring us some highly practical wisdom for our 21st century lives. We'll take a look at a bunch of Big Ideas on the importance of being a passionate (and patient!) student of life while striving to do our best. Good stuff."
Ancient-Wisdom,The Tao Te Ching,,Lao Tzu,Philosopher's Notes,"The Tao te Ching. It's the core text of Taoism and one of the top old school classics of all time. In this Note, we'll take a look at everything from making use of solitude to the fact that the journey of a thousand miles begins with the first step (heard that before, eh?!). We'll also learn to let go of our attachment to future results and gracefully roll with the ebbs and flows of life."
Ancient-Wisdom,Trying Not to Try,"Ancient China, Modern Science, and the Power of Spontaneity",Edward Slingerland,Philosopher's Notes,"Edward Slingerland is one of the world’s leading experts on both ancient Chinese thought AND modern cognitive science. This book is a melding of those two realms. It’s a truly fascinating read. I read it in a day and felt like I was spending the day hanging out with a brilliant thinker—getting privileged access to twenty years of deep thinking. If you’re into ancient wisdom and modern science I think you’ll love the book as much as I did. Big Ideas we explore include defining wu-wei + de (one of the coolest words/concepts ever), what Confucius + Lao Tzu + Mencius + Chuang Tzu have to say about wu-wei, and the spontaneity of mirrors."
Ancient-Wisdom,The Jefferson Bible,The Life and Morals of Jesus of Nazareth,Thomas Jefferson,Philosopher's Notes,"The Jefferson Bible. Thomas Jefferson created it for himself and never intended it for broad publication. Jefferson *literally* snipped out the passages and parables (from four different translations of the Bible) that he felt best captured the essence of Jesus’s moral philosophy and conformed with his sense of reason. Big Ideas we cover: Love your enemies (+ everyone else), seek ye first the kingdom of God, take the beam out your eye, use your talents, and build your life on the rock of wisdom."
Ancient-Wisdom,The Daily Stoic,"366 Meditations on Wisdom, Perseverance, and the Art of Living","Ryan Holiday, Stephen Hanselman",Philosopher's Notes,"This book combines two of my favorite things: Stoicism + Ryan Holiday’s wisdom. Stoicism was one of the most influential philosophy of the Roman world and has continued to influence many of history’s greatest minds. As Ryan says: It’s time to bring it back as a powerful tool “in the pursuit of self-mastery, perseverance, and wisdom.” This is one of the my favorite books ever. Big Ideas we explore: the #1 thing to know about Stoicism, how to create tranquility, a good answer to “What’s the latest and greatest?!,” the 2 essential tasks in life and the art of acquiescence (aka amor fati)."
Ancient-Wisdom,The Enchiridion,,Epictetus,Philosopher's Notes,"Epictetus is one of three Stoic philosophers we profile (Marcus Aurelius and Seneca are the other two) and this former slave turned leading philosopher of his era is incredible. He echoes the wisdom of all the great teachers as he reminds us that, if we want to be happy, we've gotta realize the only thing we have control over is our response to a situation. We'll have fun tapping into a lot more of his vast mojo in the Note."
Ancient-Wisdom,The Inner Citadel,The Meditations of Marcus Aurelius,Pierre Hadot,Philosopher's Notes,"Pierre Hadot was one of the most influential historians of ancient philosophy. In this book, he gives us an incredible look at Marcus Aurelius and his classic Meditations. You can feel Hadot’s incredible intellectual rigor and equally incredible passion for engaged philosophy. It’s inspiring. Big Ideas we explore include spiritual exercises, your inner citadel, your daimōn, amor fate, turning obstacles upside down and carpe areté."
Ancient-Wisdom,How to Think Like a Roman Emperor,The Stoic Philosophy of Marcus Aurelius,Donald Robertson,Philosopher's Notes,"Donald Robertson is one of the world’s leading thinkers, writers AND practitioners of Stoic philosophy. He’s also a therapist who integrates Stoicism into his work with individuals. This is our second Note on one of his great books. The first Note was on The Philosophy of Cognitive Behavioral Therapy in which he connects the philosophical underpinnings of CBT (one of the most empirically-validated, effective modern therapies) to ancient Stoicism. This book is part biography and part philosophy. It’s all awesome. If you want to know how to think like a Roman emperor, start here. I think you’ll enjoy the book as much as I did."
Ancient-Wisdom,How to Be Free,An Ancient Guide to the Stoic Life (Ancient Wisdom for Modern Readers),"Epictetus, A. A. Long",Philosopher's Notes,"A.A. Long is professor emeritus of classics and affiliated professor of philosophy at the University of California, Berkeley. He is also one of the world’s most respected scholars of Stoicism. As per the inside flap, in this beautiful little (hand)book, he provides “splendid new translations and the original Greek on facing pages, a compelling introduction that sets Epictetus in context and describes the importance of Stoic freedom today, and an invaluable glossary of key words and concepts. The result is an unmatched introduction to this powerful method of managing emotions and handling life’s situations, from the most ordinary to the most demanding.” Big Ideas we explore include freedom vs. slavery, the ultimate target (progress!), wisdom daggers (ready at hand), Rule #1 of Stoicism, how to win at life and using our full powers."
Ancient-Wisdom,How to Be a Stoic,Using Ancient Philosophy to Live a Modern Life,Massimo Pigliucci,Philosopher's Notes,"Massimo Pigliucci is a Professor of Philosophy at City College of New York. He has three PhDs—one in genetics, another in evolutionary biology and a third in philosophy. And, most importantly for our purposes, he’s a practicing Stoic philosopher. In this book, Professor Pigliucci teaches us how to be a Stoic via an imaginary dialogue with Epictetus, one of the leading Stoic teachers of the ancient world. It’s a wonderfully written, super-smart look at how we can use “ancient philosophy to live a modern life.” Big Ideas we explore include an introduction to our guide Epictetus, Rule #1 of Stoicism (some things are in our power, others are not), the cardinal virtues (of Stoicism + Science + Optimize), the power of role models (and the Stoic Paradox), and the ultimate how to be a Stoic practice question: How can I use virtue here and now?"
Ancient-Wisdom,The Practicing Stoic,A Philosophical User's Manual,Ward Farnsworth,Philosopher's Notes,"Ward Farnsworth is the Dean of the University of Texas School of Law. As you can imagine, he brings a logical precision to his discussion of Stoicism that is distinct and powerful. (Seriously. It’s actually ASTONISHINGLY powerful.) I really enjoyed the book and I highly recommend it for the aspiring Practicing Stoic. Big Ideas we explore include Principle #1 of practical Stoicism (Judgment!), the good life vs. the good mood (virtue for the win!), what others think (← pro tip: ignore it), preferred indifference (committed but not attached), and using adversity as fuel for our Optimizing (use Hermes' magic wand!)."
Ancient-Wisdom,The Obstacle Is the Way,The Timeless Art of Turning Trials into Triumph,Ryan Holiday,Philosopher's Notes,Ryan Holiday is brilliant. So is this book. The ancient Stoics taught us how to not only accept challenges but to thrive on them. Ryan brings their wisdom to life with compelling stories of great peeps who have rocked it in the face of adversity. In the Note we'll take a quick look at the three keys to making obstacles work for us: Perception + Action + Will.
Ancient-Wisdom,The Philosophy of Cognitive Behavioural Therapy,Stoic Philosophy as Rational and Cognitive Psychotherapy,Donald Robertson,Philosopher's Notes,"Got problems with your soul? These days, you’d see a psychotherapist. But, back in the day, it was the philosopher who’d help you optimize—they were the preferred physician of the soul. This book is about the philosophical roots of modern psychotherapy. Specifically, it outlines the connection between cognitive behavioral therapy (CBT) and Stoicism. Big Ideas we explore include being a warrior of the mind vs. a librarian of the mind, your highest human purpose, getting on good terms with your inner daimon, practicing the reserve clause and modeling your ideal sage."
Ancient-Wisdom,Musonius Rufus,Lectures and Sayings,Musonius Rufus,Philosopher's Notes,"Musonius Rufus was one of the four great Roman Stoics. In fact, he was known as the “Roman Socrates.” To put him in historical context with the other three great Roman Stoics: He was born in AD 30, about 34 years after Seneca. He taught Epictetus (who was born in AD 55). Epictetus died in 135 but taught the guys who taught the Roman Emperor Marcus Aurelius (who was born in AD 121) his Stoic philosophy—which is why Aurelius refers to him more than any other teacher in Meditations. Big Ideas we explore include: Theory vs. Practice (which is more important?), practicing philosophy (is where it's at!), vice vs. exile (free yourself from vice!), food (it's the medicine of life), and stoic love advice (competing in kindness)."
Ancient-Wisdom,The Stoic Challenge,"A Philosopher's Guide to Becoming Tougher, Calmer, and More Resilient",William B. Irvine,Philosopher's Notes,"William B. Irvine is a professor of philosophy at Wright State University. He’s also a fantastic (and prolific) writer. And… Unlike many of his academic, professor-of-philosophy peers, he is a practicing Stoic philosopher. In the words of Donald Robertson (another Stoic author and practitioner; see The Philosophy of Cognitive Behavioral Therapy), he is both a librarian AND a warrior of the mind. We featured another one of Professor Irvine’s great books on Stoicism called A Guide to the Good Life. I enjoyed that one quite a bit but I REALLY (!) enjoyed this one. Like, jumbo loved it. In fact, I’m going to put this one right at the top of our growing collection of books on Stoicism—along with the must-read classics by Aurelius (Meditations), Seneca (Letters from a Stoic, On the Shortness of Life), and Epictetus (Discourses, Enchiridion) plus the modern classics like Ryan Holiday’s The Obstacle Is the Way and The Daily Stoic. If you’re looking for “A Philosopher’s Guide to Becoming Tougher, Calmer, and More Resilient,” I think you’ll enjoy it as much as I did. I HIGHLY recommend it."
Ancient-Wisdom,Thoughts of a Philosophical Fighter Pilot,,James Stockdale,Philosopher's Notes,"Vice Admiral James Stockdale is an American hero. Stockdale spent nearly eight years as a prisoner of war in North Vietnam. He spent four of those years in solitary confinement and was repeatedly tortured. He was the commanding officer of hundreds of other U.S. soldiers and received the Medal of Honor for his service beyond the call of duty. This is an incredibly inspiring look at the powerful mind and equally powerful moral commitment of a hero. Big Ideas we explore: Being our brother’s keeper, chiseling our integrity to achieve delight with life, courage as endurance of the soul and heroes vs. bums."
Ancient-Wisdom,Courage Under Fire,Testing Epictetus's Doctrines in a Laboratory of Human Behavior,James Stockdale,Philosopher's Notes,"James Stockdale spent 7 1/2 years as the highest ranking prisoner of war during the Vietnam War. 4 years in solitary confinement. 2 in leg irons. This book is about how he endured all of that with the wisdom of Stoic philosopher Epictetus in mind. In the Note, we explore the key tenets of Stoicism, the Stockdale Paradox, playing your role well and mastering your emotions."
Ancient-Wisdom,Ego Is the Enemy,,Ryan Holiday,Philosopher's Notes,"Meet the enemy: Your ego. Our guide, Ryan Holiday, wrote one of my favorite books of 2015: The Obstacle Is the Way. Ego Is the Enemy is now one of my favorite books of 2016. It’s fantastic. Big Ideas we explore include: defining ego, becoming more than a flash in the pan, finally answering the question of whether it takes 10,000 or 20,000 hours to attain mastery, the virtue and value of staying true to your own path and making it rather than faking it."
Ancient-Wisdom,Stillness Is the Key,,Ryan Holiday,Philosopher's Notes,"This is our fourth Note on one of Ryan Holiday’s books. Ryan is one of my absolute favorite writers. One of the testimonials in the front of the book perfectly captures my sentiment. Screenwriter and director Brian Koppelman (Rounders, Ocean’s Thirteen and Billions) puts it this way: “I don’t have many rules in life, but one I never break is: If Ryan Holiday writes a book, I read it as soon as I can get my hands on it.” (btw: Cal Newport’s the first testimonial. He says: “Some authors give advice. Ryan Holiday distills wisdom. This book is a must read.”) Penguin Random House sent me an advance copy of this book. As I knew it would be: It’s fantastic. Of course, the book’s packed with Big Ideas and I’m excited to share some of my favorites so let’s jump straight in!"
